"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,"1612 K Street NW
Suite 204",Monday-Friday,"Immigrants, Refugees, Asylees; specifically (thought not exclusively) dedicated to detained foreign-born residents",20006,"Washington, DC","Spanish, English, others as requested",http://www.caircoalition.org,Legal Services,"Only provides services to immigrants, refugees, and asylees. From the CAIR Coalition website:  
""CAIR Coalition is the only non-profit organization in the Washington, D.C. area with a legal services program focused exclusively on assisting immigrants detained by Immigration and Customs Enforcement (ICE) in local jails in Virginia and the western part of Maryland. Detained immigrants served by CAIR Coalition include: long term residents of the United States; asylum seekers, many of whom are survivors of torture; women who are pregnant or have just given birth; and individuals who are seriously physically or mentally ill.""

",(202) 331-3320,"Bus
K Street and 16th Street NW Stop
-Route 80 to Fort Totten
-Route D6 to Sibley Hospital
-DC Circulator to Georgetown
-L2 to Chevy Chase Circle
-Route 80 to Kennedy Center
-Route D6 to Stadium Armory Station
-DC Circulator to Union Station
-Route S2 to Silver Spring
-Route S4 to Silver Spring

K Street and 17th Street NW Stop
-Route 42 to Metro Center
-Route D5 to Farragit Square
-Route L2 to McPherson Square
(Then, walk east on K Street and turn right on 17th Street. Then, walk south on 17th Street and turn left on K Street. Finally, walk approximately 1 block east on K Street NW.)

Metro
-Farragut North Metro Station
(Then, turn left on K Street and walk east on K Street to turn right on 17th Street. Walk south on 17th Street to turn left on K Street, and walk approximately 1 block east on K Street.)",9am-5pm,-77.037526,Capital Area Immigrants' Rights (CAIR) Coalition,NW,DC,38.902161,"From the CAIR Coalition website: 
Services include:
Group legal orientations on the detention and removal process, the rights of detained immigrants and the legal options available to them.
Consultations with a CAIR Coalition staff member or trained volunteer to discuss the specifics of an individual’s case.
Assistance in securing legal representation with a pro bono attorney or a CAIR Coalition staff attorney in meritorious cases. These cases may involve protection-based relief (asylum, withholding of removal, and protection under the Convention Against Torture;) Cancellation of Removal for Lawful and for non-Lawful Permanent Residents; U and T visas; Adjustment of Status; Refugee Waivers; and claims to United States citizenship
Pro Se workshops to teach detained immigrants without attorneys how to apply for various immigration benefits and how to advocate for themselves in Immigration Court.
Habeas petitions for individuals who are detained indefinitely and are eligible for habeas release under the Supreme Court decision in Zadvydas v. Davis.
Representation at Credible Fear Interviews for asylum seekers at Dulles and BWI airports."
,713 Maryland Avenue,,Counseling Services,20002,Washington,,http://www.capitolhillpregnancycenter.org,Women's Health/ Family Services,,(202) 546-1018,"Metro: Union Station (Red Line), Eastern Market (Blue/Orange Line)","Mon-Fri, 10am-4pm",-76.995495,Capitol Hill Pregnancy Center,NE,DC,38.895149,Proof of Birth
,900 G Street,,Housing,20002,Washington,,,Senior Services,,(202) 543-1890,"Bus: X2, D6, 80","Mon-Fri, 8:30am, 5pm",-76.99364,Capitol Hill Towers,NE,DC,38.899357,"Seniors, Disabled, Special Needs"
,5001 Central Avenue,,,20019,Washington,,,Library,,,,,-76.929506,Capitol View Library,SE,DC,38.888912,
,1012 14th Street,,HIV/AIDS,20005,Washington,,http://www.carlvogelcenter.org,Health Services,,(202) 638-0750,Metro: McPherson Square (Blue/Orange Line),"Mon-Fri, 9am-5pm",-77.03238,Carl Vogel Center,NW,DC,38.903187,"Men, Women"
,3935 Macomb Street,,,20016,Washington,,,Shelters/ Transitional Housing,,(202) 362-7100,"Bus: 31, 32, N2","Mon-Thurs, 9am-5:30pm, Fri, 9am-4pm",-77.0785033,Carrie Simon House,NW,DC,38.9336238,Mothers Age 18-25
,2699 Linden Lane,,,20910,Silver Spring,,,Shelters/ Transitional Housing,,,,,-77.055445,Carroll House,,MD,39.010181,
,734 University Blvd. E.,,"Specific community, ethic, or racial group, Immigrants",20903,Silver Spring,,http://www.casademaryland.org/index.php?option=com_content&task=view&id=17&Itemid=36,Job Training,CASA's mission is to serve low-income Latinos and their family to improve the quality of their life.,,"Bus 15 - E UNIVERSITY BV & PINEY BRANCH RD 

Bus 15 Route: 
Langley Park
(University Blvd and New Hampshire Ave)
PINEY BRANCH RD
Manchester Rd
Wayne Ave
Silver Spring Station",,-76.993545,Casa de Maryland,Maryland,MD,38.997293,
,802 Rhode Island Avenue,,,20002,Washington,,http://cataadahouse.org,Counseling Services,,(202) 832-8336,Metro: Rhode Island Ave-Brentwood (Red Line),"Mon, Tues, Wed, Fri, 9am-7pm. Thurs, 9am-5:30pm",-76.994574,CATAADA House (Calvary's Alternative to Alcohol and Drug Abuse),NE,DC,38.9218535,
,"James Cardinal Hickey Center
924 G Street NW",,"Immigrants, Refguees, Asylees",20001,"Washington, DC","Spanish, English","http://www.catholiccharitiesdc.org/find/services/index.php?id=169
",Job Training,"This organization provides legal consultation and aid for ""foreign-born individuals"", primarily for those residing in Maryland, DC, and Virginia.  ",(202) 772-4356,"Metro
-Take the Green, Red, or Yellow lines to Gallery Place/Chinatown station
-Then, walk 1 block north to G Street and 3 blocks west to 9th Street

-Take the Blue, Orange, or Red lines to Metro Center station
-Then, walk about 4 blocks east to 9th Street along G Street

Bus
-Route 42 to Metro Center
-Route 42 to Mount Pleasant

-DC Circulator to Southwest Water Front (then walk about 1 block north on 9th Street to G Street)

-Route 80 to Kennedy Center (then walk about 1 block south to G Street)
-Route P6 to Rhode Island Avenue Station (then walk about 1 block south to G Street)
-Route X2 to Lafayette Square (then walk about 1 block south to G Street)","Open for walk-in Tuesdays, 9:30-11:30",-77.0190228,Catholic Charities Immigration Legal Services,NW,DC,38.912068,"There is a $60 consultation fee for all appointments. 
This organization coordinates with other Catholic Charities Immigration Services, however, this site deals specifically with immigrants, refugees, and asylees. "
,924 G St.,,,20001,Washington,,http://www.catholiccharitiesdc.org,Comprehensive Service Provider,,(202) 772-4300,"Metro: Metro Center (Red/Blue, Orange Line)","Mon-Fri, 9am-5pm",-77.0244703,Catholic Community Service of DC,NW,DC,38.8990371,
,1438 Rhode Island Ave.,,,20018,Washington,,http://www.catholiccharitiesdc.org,Comprehensive Service Provider,,"(202) 526-4100
","Bus: 86, D8, H8",,-76.984421,Catholic Community Service of DC Northeast Center,NE,DC,38.925474,
,425 2nd Street,,Meal Programs,20001,Washington,,http://www.ccnvdc.org,Shelters/ Transitional Housing,,(202) 393-4409,Metro: Judiciary Square (Red Line),Mon-Sun,-77.013236,CCNV (Community for Creative Non-Violence),NW,DC,38.895446,"Identification Required, Homeless"
,714 G Street,,Counseling,20003,Washington,,http://www.centerchildprotection.org,Women's Health/ Family Services,, (202) 544-3144 ,Metro: Eastern Market (Blue/Orange Line),"Mon-Fri, 9am-5pm",-76.9954639,Center for Child Protection and Family Support,SE,DC,38.8812835,
,"
600 W Street",,,20002,Washington,,http://www.ceet.org,Job Training/ Adult Education Services,,(202) 832-4070,Metro: Rhode Island Ave-Brentwood (Red Line),,-76.9980393,Center for Empowerment and Employment Training (CEET),NE,DC,38.9197782,
,4401 Foote St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.938978,Central Union Baptist (SHARE site),NE,DC,38.897126,
,1350 R St.,,Food Pantry/Grocery Services,20009,Washington,,http://www.missiondc.org,Shelters/ Transitional Housing,,(202) 745-7118,Metro: U Street (Green/Yellow Line),"Mon-Fri, 9am-3pm",-77.031648,Central Union Mission,NW,DC,38.912407,
,"
3182B Bladensburg Road



",,,20018,Washington,,http://www.missiondc.org,Food/ Grocery Services,,(202) 489-6005,Automobile,"Mon-Fri, 10am-5pm",-76.960438,Central Union Mission (Heaven's Grocery Store),NE,DC,38.929628,"Identification Required, Low-Income, Emergency Only, Call First"
,1631 14th St.,,,20009,Washington,,http://www.unityhealthcare.org,Health Services,,(202) 715-7900,Metro: U Street (Green/Yellow Line),"Thurs, 6:15-9pm",-77.031575,Central Union Mission Primary Health Care,NW,DC,38.912402,Homeless
,1001 Lawrence Street ,,Teen/Youth Programs,20017,Washington,,http://www.catholiccharitiesdc.org,Counseling Services,,Crisis Hotline: (202) 481-1450. Access Helpline: (202) 561-7000,Metro: Brookland-CUA (Red Line),"7 Days a Week, 24 Hours",-76.9919649,CHAMPS (Children and Adolescent Mobile Psychiatric Service),NE,DC,38.931214,Children
,1413 Park Rd.,,,20010,Washington,,,Food/ Grocery Services,,,,,-77.0331358,Change Inc. (SHARE site),NW,DC,38.930437,
,2001 14th Street,,,20020,Washington,,,Food/ Grocery Services,,(202) 6778-4300,"Bus: 9A, B2, 30","Food: Mon, Wed, 10am-2pm. Clothing: Mon, Thurs, 11:30am-2pm",-76.985509,Chapel of St. Philip the Evangelist,SE,DC,38.8658998,"Referral Required, Call First"
,1830 Connecticut Avenue,,Clothing,20009,Washington,,http://www.stmargaretsdc.org/,Meal Programs,,(202) 232-3066 ,Metro: Dupont Circle (Red Line),"Tues-Fri, 6:30am-8:30am",-77.046673,Charlie's Place,NW,DC,38.9151529,
,3924 Minnesota Avenue,,,20019,Washington,,http://www.chartered-health.com,Health Services,,(202) 398-8683,Bus: U5,"Mon, Wed, 9am-9pm. Tues, Thurs, Fri, 9am-5:30pm. Sat, 9am-1pm",-76.951045,Chartered Family Health Center,NE,DC,38.893822,"Identification Required, Insurance Card Required, Medicaid, Alliance Health Care Accepted"
,5625 Connecticut Avenue,,,20015,Washington,,,Library,,,,,-77.075161,Chevy Chase Library,NW,DC,38.965366,
,400 6th Street,,Women's Health/Family Services,20024,Washington,,http://cfsa.dc.gov,Health Services,,(202) 442-6000,Metro: L'Enfant Plaza (Blue/Orange/Green/Yellow Line),"Mon-Fri, 8:15am-4:45pm",-77.019343,Child and Family Services Agency,SW,DC,38.884487,
,1630 Euclid St,,Women's Health/Family Services,20009,Washington,,,Health Services,,,,,-77.0372779,Children's Adams Morgan/Dorchester(WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.9232053,
,2220 11th St.,,Women's Health/Family Services,20010,Washington,,,Health Services,,,,,-77.0272496,Children's Comp Care(WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.9199091,
,2501 Good Hope Rd,,Teen/ Youth Programs,20020,Washington,,http://www.childrensnational.org,Health Services,,"(202) 476-6900
","Bus: 92, W6",,-76.969396,Children's Health Center,SE,DC,38.8606399,"Children and Youth, Birth to Age 21"
,1900 Mississippi Ave,,Women's Health/Family Services,20020,Washington,,,Health Services,,,,,-76.97587,Children's Health Center at The ARC (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.844049,
,111 Michigan Ave,,Women's Health/Family Services,20009,Washington,,,Health Services,,,,,-77.0060217,Children's Hospital (WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.9270868,
,2250 Champlain St,,Women's Health/Family Services,20009,Washington,,,Health Services,,,,,-77.0408096,Children's Marie Reed(WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.9199551,
,8181 Professional Place,,Women's Health/Family Services,20785,Hyattsville,,http://www.crckids.org,Legal Services,,"(202) 543-3900, (301) 459-1220",Metro: New Carrollton (Orange Line),"Mon-Fri, 8am-5pm",-76.865518,Children's Rights Council,,MD,38.94891,
,500 I Street,,,20001,Washington,,http://www.cccdc.com,Counseling Services,,(202) 898-0061,Metro: Metro Center (Red/Blue/Orange Line),"Mon-Fri, 8:30am-4:30pm",-77.019211,Chinatown Service Center,NW,DC,38.900614,
,1717 Columbia Road,,,20009,Washington,,http://www.christhouse.org,Health Services,,(202) 328-1100,Metro: Columbia Heights (Green/Yellow Line) Bus: 42,"7 Days a Week, 24 Hours",-77.039981,Christ House,NW,DC,38.924901,Homeless
,818 Bladensburg Rd,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.982812,Christian Love Baptist (SHARE site),NE,DC,38.901262,
,4628 Minnesota Ave,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9360456,Church of the Holy Trinity (SHARE site),NE,DC,38.9068028,
,2201 P Street,,Empowerment,20037,Washington,,http://www.churchofthepilgrims.org,Meal Programs,,(202) 387-6612,Metro: Dupon Circle (Red Line),"Sunday, 1pm-1:30pm",-77.049608,Church of the Pilgrims,NW,DC,38.910404,"Homeless, Low-Income"
,2201 P Street,,"Anyone and Everyone, LGBT, Christian",20037,Washington,,http://www.churchofthepilgrims.org/,"Child Care, LGBT Services","The Church of the Pilgrims is a congregation of people on a faith journey. We are people with questions, seeking greater understanding of God's love for the world and the message God's son Jesus Christ sought to bring us. We welcome and need members of different backgrounds and experiences because each individual offers the entire congregation new insight and understanding of the Lord. We respect all who are willing to bring their questions and insights to share with the congregation, welcoming the way each seeker joins in enriching our journey of faith.

All of us, as God's children, have an important role to play in the congregation's collective understanding of our role as a Christian community in the world today. The Church of the Pilgrims depends on the questions and the service of all seekers to continue its mission.

There is but one requirement for membership in the Presbyterian Church (USA), and that is acceptance and public proclamation of Jesus Christ as one's Lord and Savior. There are no other rules to bar or restrict membership. All persons, regardless of race, gender, religious heritage, nationality, sexual orientation, political persuasion, economic status, educational level, or physical health and ability are welcome in the church, because while such divisions are drawn in the minds of humans, in the eyes of God, we are one. Just as God's love for us is unconditional, we are called to open our doors and our hearts unconditionally to all who seek God. Let there be no doubt in any mind: All means all.

The Church of the Pilgrims believes that its members have both the right and the obligation to use their God-given gifts in a way that benefits God's work on earth.

All members are asked to serve in ways that reflect their abilities, including giving of their time and energy to church activities, financial support of the church's work with tithes and offerings and, when called by the church, ordination as ministers, elders, or deacons. We believe it is up to each individual member to reflect prayerfully on what he or she is called to do in the church and then to act-or not act-based upon those reflections. Although we recognize that the community of faith affirms an individual's call to church leadership, we reject any regulation that prohibits service based upon race, gender, religious heritage, nationality, sexual orientation, political persuasion, economic status, educational level, or physical health or ability. A ll are welcomed into our congregation. All are called and expected to serve the church as guided by God and consistent with their capabilities. Please join us!

",(202) 387-6612 ,"The closest Metro stop is the Dupont Circle Metro stop on the Red Line. To exit the station, use the Q Street North exit. When you get to the top of the escalator, you will be at the corner of 19th and Q.  Walk west on the south side of Q until you come to Massachusetts Ave. (after the Gandhi statue).  From there take the cross walk to the north side of Q, then cross MA Ave. on the cross walk in front of the Cosmos Club, which will take you back to Q.  From there you will see the tower of the church ahead and to your left. It is less than a 10 minute walk from the Metro stop to Pilgrims.

Church of the Pilgrims is at 22nd and P St. To plan your trip, use the RideGuide. For a Metro system map, visit Metro's web site.","Worship at Church of the Pilgrims—11am on Sunday mornings.
Child care provided for infants up to elementary age children",-77.049608,Church of the Pilgrims,NW,DC,38.910404,
,3636 16th Street,,,20010,Washington,,http://mycitiwide.com,Job Training/ Adult Education Services,,(202) 667-3719,"Bus: S2, S4, 52","Mon-Fri, 9am-7pm. Sat, 10am-7pm",-77.037184,Citiwide Computer Training Center,NW,DC,38.936314,
,"3636 16th Street, NW
Suite AG-49
Washington, DC 20010",Monday - Sunday,"Medical Provider/ Health Clinic, Job Training",20010,"Washington, DC",English,www.mycitiwide.com,"Medical Provider/ Health Clinic, Job Training",CitiWide Nursing Assistant Program was established in 2008 to provide nursing assistant training and Home Health Aide training to individuals interested in providing care to others.,202-667-3719,"S2, S4, Columbia Height Metro Green Line
Georgia Avenue (Petworth) Green Line Metro","Monday - Sunday
8am - 8pm ",-77.030539,CitiWide Nursing Assistant Program,NW,DC,38.9339046,No
,3310 Connecticut Avenue,,,20008,Washington,,,Library,,,,,-77.057754,Cleveland Park Library,NW,DC,38.933746,
,1234 Massachusetts  Ave,,,20005,Washington,,http://www.dccfh.org,Comprehensive Service Provider,,(202) 347-8870,Metro: Metro Center (Red Line). Bus: 80,"Mon-Fri, 9am-5pm",-77.029112,Coalition for the Homeless,NW,DC,38.904285,"Homeless, Men, Families"
,930 Farragut St.,,Comprehensive service provider,20011,Washington,,,Senior Services,,(202) 722-4048,Bus: 70,"Mon-Fri, 10am-2pm",-77.0260119,Colony House,NW,DC,38.9508176,Seniors
,2900 14th Street,,,20009,Washington,,,Senior Services,,(202) 234-6900,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am - 6pm",-77.033231,Columbia Heights,NW,DC,38.926752,Seniors
,1420 Columbia Road,,,20009,Washington,,http://www.chsfsc.org,Job Training/ Adult Education Services,,(202) 518-6737,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.0333635,Columbia Heights/Shaw Family Support Collaborative,NW,DC,38.9273238,"Ward 1, Families"
,1660 Columbia Rd,,Counseling Services,20009,Washington,,http://www.crhs.org,Health Services,,(202) 328-3717,"Metro: Columbia Heights (Green/Yellow Line). Bus: 42, H1, 90, L2, S1, S2, S4","Mon-Wed, 8:30am-9:15pm. Thurs, 8:30am-11:30am, 1:30pm-9:15pm. Fri, 8:30am-5pm. Sat, 8:30am-12:15pm",-77.0388071,Columbia Road Health Services,NW,DC,38.924985,DC Resident
,2217 14th St.,,,20001,Washington,,http://www.fns.usda.gov,Food/ Grocery Services,,(202) 535-1980,Metro: U Street (Green/Yellow Line),"Mon-Fri, 8:30am-4pm",-77.031585,Commodity Supplemental Food Program,NW,DC,38.919732,"Identification Required, DC Resident, Low-Income, Women with Young Children, Seniors"
,1115 21st St,,,20002,Washington,,http://www.fns.usda.gov,Food/ Grocery Services,,(202) 645-5518,"Bus: B2, X2, X8","3rd Wed, Thurs, Fri of Month, 8:30am-2pm",-76.973907,"Commodity Supplemental Food Program, Carver Terrace",NE,DC,38.904862,"Identification Required, DC Resident, Low-Income, Women with Young Children, Seniors"
,3720 Martin Luther King Jr. Ave,,,20032,Washington,,http://www.fns.usda.gov,Food/ Grocery Services,,(202) 715-7696,Metro: Congress Heights (Green Line),"Mon-Fri, 8:30am-4pm",-77.006345,"Commodity Supplemental Food Program, Congress Heights Center",SE,DC,38.837021,"Identification Required, DC Resident, Low-Income, Women with Young Children, Seniors"
,"
5601 East Capitol Street


",,,20019,Washington,,http://www.fns.usda.gov,Food/ Grocery Services,,(202) 645-6087,Metro: Capitol Heights (Blue Line),"Mon-Fri, 8:30am-4pm",-76.9206829,"Commodity Supplemental Food Program, East Capitol Service Center",SE,DC,38.8896786,"Identification Required, DC Resident, Low-Income, Women with Young Children, Seniors"
, 3rd and V Street,,,20002,Washington,,http://commongoodcityfarm.org,Community Garden,,(202) 330-5945,"Metro: Shaw-Howard University (Green/Yellow Line)Bus: G8, 79, 70",,-77.002034,Common Good City Farm,NW,DC,38.918104,
,8210 Colonial Lane,,,20910,Silver Spring,,,Health Services,,,,,-77.028144,"Community Clinic, Inc.",,MD,38.991908,
,4713 Wisconsin Avenue,,Medical Provider/Health Clinic,20016,Washington,,http://www.cchfp.org,Shelters/ Transitional Housing,,(202) 364-1419,Metro: Tenleytown-AU (Red Line),"Walk-in: Mon, 12:30pm-4pm. Tues-Fri, 8:30am-11:30am, 1pm-3pm. Medical Clinic: Mon, 1pm-4pm. Wed, 9am-11:30am. Psychiatric Clinic: Thurs, 1pm-4pm",-77.080599,Community Council for the Homeless at Friendship Place,NW,DC,38.951407,Homeless
,"1920 Martin Luther King, Jr. Ave",,,20020,Washington,,,Job Training/ Adult Education Services,,(202) 610-1080,"Bus: B2, P2, 90","Mon-Fri, 10am-3pm",-76.9887225,Community Empowerment Training Academy (CETA),SE,DC,38.8669715,"DC Resident, Age 22+"
,305 E Street,,,20001,Washington,,http://www.cflsdc.org,Comprehensive Service Provider,,(202) 347-0511,Metro: Judiciary Square (Red Line) Bus:D6 ,"Mon-Fri, 10am-5pm",-77.015561,Community Family Life Services,NW,DC,38.896387,"Identification Required, DC Resident, Ward 6"
,305 K St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-77.0017359,Community Holiness Church (SHARE site),NE,DC,38.902118,
,1118 9th Street,,,20001,Washington,,,Health Services,,(202) 408-9835,Metro: Mt Vernon Square (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.024088,Community Medical Care,NW,DC,38.904931,
,3715 2nd Street,,,20032,Washington,,http://www.communityofhopedc.org,Shelters/ Transitional Housing,,(202) 563-1060,"Bus: A2, A4, A8",,-77.003276,Community of Hope (Hope Apartments),SE,DC,38.837314,
,1413 Girard St.,,Support Services,20009,Washington,,http://www.communityofhopedc.org,Shelters/ Transitional Housing,,(202) 232-7356,"Metro: Columbia Heights(Green/Yellow Line) Bus: 52, 53, 54",,-77.033166,Community of Hope Administrative Offices & Housing Program,NW,DC,38.925727,
,2250 Champlain Street,,,20009,Washington,,http://www.communityofhopedc.org,Health Services,,(202) 232-9022,"Metro: Dupont Circle (Red Line), U Street (Green/Yellow Line) Bus: L2, 90, 92, 93, 96","Mon, Wed, 8:30am-6pm. Tues, Thurs, 8:30am-8pm. Fri, 8:30am-4pm",-77.0408096,Community of Hope Health Services,NW,DC,38.9199551,"Insurance Needed, otherwise based on a sliding scale. Medicaid/Medicare Accepted, Appointment Preferred"
,801 Pennsylvania Ave,,,20003,Washington,,http://www.community-partnership.org,Shelters/ Transitional Housing,,(202) 543-5298,Metro: Eastern Market (Blue/Orange Line),,-76.994677,Community Partnership for the Prevention of Homelessness,SE,DC,38.883696,Does Not Provide Direct Service
,1525 Levis St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9819032,Community United Methodist (SHARE site),NE,DC,38.9042281,
,1905 E St.,,Counseling,20003,Washington,,http://dmh.dc.gov,Health Services,,(202) 673-9319,Metro: Stadium-Armory (Blue/Orange Line),"24 Hours, 7 Days a Week",-76.977201,Comprehensive Psychiatric Emergency Program (DC General Hospital Compound),SE,DC,38.882812,Age 18+
,3720 Martin Luther King Jr. Ave,,,20032,Washington,,http://www.unityhealthcare.org,Health Services,,(202) 279-1801,"Bus: A8, W4, M8","Mon-Fri, 8:15am-4:45pm",-77.006345,Congress Heights Health Center,SE,DC,38.837021,
,"
3215 Martin Luther King Jr. Ave",,,20032,Washington,,http://www.chtcdc.com,Job Training/ Adult Education Services,,(202) 563-5200,Metro: Congress Heights (Green Line),"Mon-Thurs, 8am-5pm",-77.001326,Congress Heights Trading Center,SE,DC,38.843067,
,"
400 North Capitol Street",,DC Public,20001,Washington,,http://www.hungercenter.org,Food/ Grocery Services,,(202) 547-7022,Metro: Union Station (Red Line),"Mon-Fri, 9am-5pm",-77.009182,Congressional Hunger Center,NW,DC,38.895459,Does Not Provide Direct Service
,903 Division St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.923997,Contee AME Zion (SHARE site),NE,DC,38.9018609,
,1630 Euclid Street,,,20009,Washington,,,Teen/ Youth Programs,,,,,-77.0372779,COOL Kids,NW,DC,38.9232053,
,1400 20th Street,,financing/ affordable housing,20036,Washington,,http://www.cornerstonedc.org,Shelters/ Transitional Housing,,(202) 347-7808,Bus: L2,"Mon-Fri, 9am-5pm",-77.044866,Cornerstone,NW,DC,38.908934,Does Not Provide Direct Service
,1601 T St.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.982214,Cornerstone Bible Church (SHARE site),SE,DC,38.867251,
,"
3845 South Capitol 

",,,20032,Washington,,http://covenantbaptistdc.webs.com,Food/ Grocery Services,,(202) 562-5576,Bus: A8,"Thurs, 9:30am-12:30pm",-77.0089899,Covenant Baptist Church,SW,DC,38.8315151,"Identification Required, Ward 8"
,1235 Kenilworth Avenue,,,20019,Washington,,http://www.covenanthousedc.org,Job Training/ Adult Education Services,, (202) 610-6518 ,Metro: Deanwood (Orange Line),,-76.938062,Covenant House- Artisans Woodshop,NE,DC,38.906796,Youth
,7 New York Avenue,,,20002,Washington,,http://www.covenanthousedc.org,Comprehensive Service Provider,,(202) 610-9514,Metro: New York Ave (Red Line),,-77.008239,Covenant House- Community Outreach Center,NE,DC,38.907388,Youth
,4914 Ayers Place,,,20019,Washington,,http://www.covenanthousedc.org,Teen/ Youth Programs,,(202) 610-7530,Metro: Benning Road (Blue Line),,-76.9315044,Covenant House- Teen Life Choices,SE,DC,38.8889151,Youth
,2001 Mississippi Ave,,Comprehensive service provider,20020,Washington,,http://www.covenanthousedc.org,Shelters/ Transitional Housing,,(202) 610-9600,"Bus: W2, 92",,-76.9752359,"Covenant House-(Administrative, Volunteer, Community, Residential, Peer-Supported Pregnancy Prevention Program)",SE,DC,38.8438909,Youth
,"
515 5th St 
",,DC Public,20001,Washington,,http://www.dccourts.gov,Legal Services,,(202)- 879-4216,Metro: Judiciary Square (Red Line),"Mon-Fri, 8:30am-5pm",-77.0189174,Crime Victim's Compensation Program (DC Superior Court),NW,DC,38.896311,Victims of Crime
,800 I St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.994973,Crusaders Baptist Church (SHARE site),NE,DC,38.9013412,
,3149 16th St,,DC Public,20010,Washington,,,Teen/ Youth Programs,,,,,-77.036374,D.C. Department of Parks and Recreation,NW,DC,38.930124,
,1800 Anacostia Drive,,,20020,Washington,,,Teen/ Youth Programs,,,,"Mon-Fri, 9am-6pm",-76.982467,D.C. Department of Parks and Recreation: Youth Development Division/Roving Leaders Program,SE,DC,38.872776,
,17th & Benning Rd,,Women's Health/Family Services,20002,Washington,,,Health Services,,,,,-70.6978798,DC Birthing Center (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,10.1104155,
,1156 15th St.,,,20005,Washington,,http://www.dccare.org,Counseling Services,,(202) 223-9550,"Metro: Farragut North (Red Line), McPherson Square (Blue/Orange Line)",,-77.034684,DC Care Consortium,NW,DC,38.90542,HIV/AIDS
,1400 Florida Ave,,legal services,20002,Washington,,http://www.dccil.org,Counseling Services,,(202) 388-0033,Metro: Minnesota Ave (Orange Line) Bus: X2,"Mon-Fri, 9am-5pm",-76.984064,DC Center for Independent living,NE,DC,38.900511,Disability
,425 2nd street,,Meal Programs,20001,Washington,,http://www.dccentralkitchen.org,Job Training/ Adult Education Services,,(202) 234-0707,Metro: Judiciary Square (Red Line),,-77.013236,DC Central Kitchen,NW,DC,38.895446,
,1309 5th Street,,,20002,Washington,,,Farmers Market,,,Metro: New York Ave (Red Line),"Tues-Thurs, 7am-5:30pm. Fri-Sat, 7am-6:30pm. Sun, 7am-2pm",-76.9977544,DC Farmers Market,NE,DC,38.9088411,
,1900 Massachusetts Ave,,Women's Health/Family Services,20003,Washington,,,Health Services,,,,,-76.975944,DC General Hospital(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.885855,
,"
1612 K Street",,,20006,Washington,,http://www.dclearns.org,Job Training/ Adult Education Services,,(202) 331-0141 ,"Metro: Farragut North (Red Line), Farragut West (Blue/Orange Line)",,-77.037526,DC Learns,NW,DC,38.902161,
,1301 Belmont St.,,Disability Equipment,20009,Washington,,,Health Services,,(202) 332-2595,Metro: U Street (Green/Yellow Line),"Mon-Fri, 10am-6pm",-77.0300202,DC Shares,NW,DC,38.9212195,
,900 2nd Street,,"Anyone and Everyone, Disabled",20002,"Washington, DC",,www.specialolympicsdc.org,Empowerment,programs available to citizens with intellectual disabilities,,Union Station--Red Line,,-77.003926,DC Special Olympics Inc.,NE,DC,38.9009379,
,1711 14th St,"Bi-monthly meetings are every other Tuesday: DC Trans Coalition is based online, and uses meeting space at Whitman-Walker twice a month.  The following address is for WWC:

1711 14th St",LGBT,20009,Washington,Spanish,http://dctranscoalition.org/,Referrals,n/a,n/a,"For bi-monthly meetings held at WWC:

U St. Metro - Green/Yellow Lines
52 Bus
53 Bus
54 Bus",Bi-monthly meetings are 7:30pm - 9:00pm,-77.0319331,DC Trans Coalition,NW,DC,38.9130142,
,1118 48th Street,,,20019,Washington,,,Community Garden,,,,,-76.9337748,Deanwood Garden,NE,DC,38.9052501,
,1400 Florida Ave,,Affordable/Transitional Housing,20002,Washington,,,Senior Services,,(202) 398-1303,Bus: D8,"Mon-Fri, 8:30am-4pm",-76.984064,Delta Towers,NE,DC,38.900511,"Seniors, Disabled"
